,Rank,Movie Names,Links,Rating,Year,Duration_of_movie,Genere,Description
0,1,Ramayana: The Legend of Prince Rama,https://www.imdb.com//title/tt0259534/?ref_=fea_eds_center-3_IndiaTop250_0,9.2,1993,PG,"Animation,Action,Adventure,Back to top","An anime adaptation of the Hindu epic the Ramayana, where Lord Ram combats the wicked king Ravana."
1,2,Rocketry: The Nambi Effect,https://www.imdb.com//title/tt9263550/?ref_=fea_eds_center-3_IndiaTop250_1,8.7,2022,2h 37m,"Biography,Drama,Back to top","Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against... Read all"
2,3,Nayakan,https://www.imdb.com//title/tt0093603/?ref_=fea_eds_center-3_IndiaTop250_2,8.6,1987,Not Rated,"Crime,Drama,Back to top","A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact ... Read all"
3,4,Gol Maal,https://www.imdb.com//title/tt0079221/?ref_=fea_eds_center-3_IndiaTop250_3,8.5,1979,Not Rated,"Comedy,Romance,Back to top",A man's simple lie to secure his job escalates into more complex lies when his orthodox boss gets suspicious.
4,5,Anbe Sivam,https://www.imdb.com//title/tt0367495/?ref_=fea_eds_center-3_IndiaTop250_4,8.6,2003,Not Rated,"Adventure,Comedy,Drama,Back to top","Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fat... Read all"
5,6,777 Charlie,https://www.imdb.com//title/tt7466810/?ref_=fea_eds_center-3_IndiaTop250_5,8.8,2022,2h 44m,"Adventure,Comedy,Drama,Back to top",Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towa... Read all
6,7,Pariyerum Perumal,https://www.imdb.com//title/tt8176054/?ref_=fea_eds_center-3_IndiaTop250_6,8.7,2018,Not Rated,"Drama,Back to top","A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this."
7,8,Manichithrathazhu,https://www.imdb.com//title/tt0214915/?ref_=fea_eds_center-3_IndiaTop250_7,8.8,1993,Not Rated,"Comedy,Horror,Mystery,Back to top","When a forbidden room in an old bungalow is unbolted, the spirit of a vengeful dancer is unleashed."
8,9,3 Idiots,https://www.imdb.com//title/tt1187043/?ref_=fea_eds_center-3_IndiaTop250_8,8.4,2009,PG-13,"Comedy,Drama,Back to top","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of t... Read all"
9,10,The World of Apu,https://www.imdb.com//title/tt0052572/?ref_=fea_eds_center-3_IndiaTop250_9,8.5,1959,Not Rated,"Drama,Back to top",This final installment in Satyajit Ray's Apu Trilogy follows Apu's life as an orphaned adult aspiring to be a writer.
